web_name,fpl_code,fpl_id
Fábio Vieira,438098,1
Gabriel,226597,3
Hein,463748,5
Jorginho,85955,7
Kiwior,440854,8
Nwaneri,499175,12
Thomas,167199,20
Tierney,192895,21
Calafiori,466075,578
Barrenechea,491287,30
Buendia,195546,31
Gauci,462492,39
Hause,123354,40
Iling Jr,469247,41
Kamara,226944,42
Kesler-Hayden,465390,43
Marschall,462381,46
McGinn,122806,48
Nedeljkovic,578545,50
Olsen,111782,51
Ramsey,232653,53
Sinisalo,248164,55
Sousa,514315,56
Anthony,444180,61
Brooks,111317,62
Enes Ünal,168636,65
H.Traorè,424044,67
Jebbison,523700,69
Neto,69752,73
Paulsen,495145,75
Huijsen,554605,580
J.Araujo,436893,592
Brierley,494041,87
Jensen,207283,95
Ji-soo,570241,96
Konak,628204,97
Lewis-Potter,249231,98
Nørgaard,128295,101
Thiago,502500,107
Valdimarsson,507433,109
Carvalho,244858,314
Cozier-Duberry,519324,118
Enciso,474120,121
I.Osman,612855,127
Kozlowski,484658,130
Mazilu,550141,133
Minteh,592031,135
O’Mahony,574402,138
Offiah,445548,139
Peupion,491598,140
Sarmiento,441192,141
Undav,450434,143
Wieffer,467779,149
Ângelo,518620,151
Arrizabalaga,109745,152
Bergström,482158,154
Bettinelli,122074,155
D.D.Fofana,520295,164
Dewsbury-Hall,215413,166
Kellyman,549068,173
Lavia,514356,174
Lukaku,66749,175
M.Sarr,204727,176
Marc Guiu,499309,178
Renato Veiga,551230,184
W.Fofana,444463,189
Neto,247632,560
Wiley,488464,575
Jørgensen,508479,581
Andersen,174874,191
J.Ayew,80146,192
Chadi Riad,515621,195
Ebiowei,450535,197
Holding,156074,202
Hughes,108413,203
Johnstone,101982,204
Kamada,209400,205
Ward,55494,215
I.Sarr,232185,585
Gana,80801,222
Garner,232928,223
J.Virginia,222627,227
McNeil,433154,230
Ndiaye,440993,232
Lindstrøm,463903,577
O'Brien,512462,582
Benda,428971,242
Harris,515024,246
Leno,80201,248
Lukić,212314,249
Mbabu,120721,250
Stansfield,490146,256
Sessegnon,184349,579
J.Cuenca,246301,586
Al-Hamadi,462387,260
Baggott,517178,261
Broadhead,173818,262
Burgess,122411,263
Burns,149929,264
Chaplin,196411,265
Clarke,232228,266
Davis,455084,267
Delap,463034,268
Edmundson,214964,269
Greaves,449429,270
Harness,167191,271
Hirst,222625,272
Humphreys,524180,273
Hutchinson,503301,274
Johnson,222018,275
Ladapo,94926,276
Luongo,106606,277
Morsy,74944,278
Ndaba,246265,279
Slicker,434044,280
Taylor,231899,281
Tuanzebe,180804,282
Walton,108813,283
Woolfenden,220583,284
Townsend,108053,583
B.Soumaré,225902,285
Choudhury,197469,287
Coady,94147,288
Daka,245419,289
De Cordova-Reid,96994,290
Faes,218218,291
Golding,549640,292
Hermansen,467189,293
Iversen,207270,294
Justin,220627,295
Kristiansen,481510,296
Marcal,461584,297
Mavididi,154048,298
McAteer,461587,299
Ndidi,203341,300
Okoli,473341,301
Ricardo,111931,302
Souttar,194190,303
Stolarczyk,436680,304
Vardy,101668,306
Vestergaard,93100,307
Ward,95463,308
Winks,157668,309
A.Fatawu,531442,570
Gakpo,243298,321
Gomez,171287,322
Jones,206915,324
Kelleher,200720,325
Morton,440148,331
N.Phillips,197464,332
R.Williams,219937,334
Van den Berg,444765,338
Carson,17601,344
João Cancelo,121145,353
Lewis,477064,355
Matheus N.,465351,356
Sávio,510281,571
Bayindir,451302,367
Heaton,21205,374
Lindelof,184667,376
Malacia,222690,379
Zirkzee,458249,389
Yoro,550864,572
De Ligt,209365,593
Mazraoui,230001,594
Fraser,90105,397
Hall,487838,399
Hayden,153127,400
J.Murphy,114243,402
Kelly,235530,404
Krafth,111773,405
Kuol,564510,406
Lewis,194799,408
Longstaff,180135,410
Odysseas,111452,412
Ruddy,19236,414
Pivas,578512,574
Bowler,245830,426
C.Miguel,475123,427
Da Silva Moreira,569014,428
Dennis,230251,430
Mighten,244930,435
O.Richards,204822,438
O'Brien,243345,439
Panzo,209035,441
Ui-jo,201440,446
Wood,60689,447
Milenković,227444,573
Alcaraz,502697,450
Amo-Ameyaw,499724,451
Aribo,193204,452
Armstrong,155511,453
Bazunu,456350,454
Bednarek,171771,455
Bella-Kotchap,477386,456
Bree,184386,457
Charles,463210,458
Edozie,490503,459
Edwards,500926,460
Harwood-Bellis,245719,461
Kamaldeen,504783,462
Larios,515571,464
Lis,200428,465
Lumley,167888,466
Manning,204863,467
Mara,476888,468
McCarthy,58376,469
Onuachu,147611,470
Smallbone,214466,471
Stephens,88900,472
Stewart,230348,473
Sugawara,219279,474
Walker-Peters,158534,476
Wood,244845,477
Downes,220585,518
A.Phillips,548308,478
Austin,214572,479
Bergvall,570526,481
Devine,496179,485
E.Royal,241157,487
Forster,40383,488
Gray,547701,489
Johnson,242898,491
Spence,232859,504
Whiteman,175941,510
Emerson,109533,520
L.Guilherme,577114,526
N.Aguerd,210494,529
Irving,229384,576
Summerville,450070,587
G.Rodríguez,197024,588
Füllkrug,91889,589
Todibo,462116,591
B.Traore,476502,534
Chiquinho,510363,537
Cundle,245923,540
Guedes,181284,548
H.Bueno,490721,549
Hodge,240299,551
Hoever,441271,552
J.Gomes,448089,553
King,138001,556
Mario Jr.,151086,557
Mosquera,501837,558
Pedro Lima,641221,561
Podence,200600,562
R.Gomes,483081,563
Strand Larsen,247412,566
