player_name,understat_id
Niclas Füllkrug,6098
Jean-Clair Todibo,6816
Matthijs de Ligt,7902
Guido Rodríguez,8267
Noussair Mazraoui,10696
Julián Araujo,11745
Dean Huijsen,11943
Jacob Greaves,12745
Luke Woolfenden,12746
Massimo Luongo,12747
Sam Morsy,12748
Wes Burns,12749
Conor Chaplin,12750
Ali Al-Hamadi,12751
Sammie Szmodics,12752
Marcus Harness,12753
Jack Taylor,12754
Rodrigo Gomes,12756
Mats Wieffer,12758
Yankuba Minteh,12759
Yukinari Sugawara,12761
Kosta Nedeljkovic,12775
Mads Hermansen,12910
Abdul Fatawu,12911
Lucas Bergvall,12912
